text,cluster,llm_label,llm_direct
"Some People Not Eligible to Get in on Google IPO. Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.",0,Microsoft / New,Microsoft / New
"NFL Game Summary - Jacksonville at Tennessee. Nashville, TN (Sports Network) - Fred Taylor scored on a one-yard run with nine seconds left in the fourth quarter to lift the Jacksonville Jaguars to a 15-12 victory over the Tennessee Titans at The Coliseum.",1,Game / Season,Game / Season
Not a big hit everywhere. Bill Ryan is spending the last days of the summer traveling across Canada and the United States to pitch big shareholders on the complicated plan to sell 51 percent of his Banknorth Group Inc. to Toronto-Dominion Bank.,3,Iraq / President,Microsoft / New
INDONESIA: 'Blow to democracy '. International and domestic observers lambasted on Thursday the guilty verdict against Tempo magazine 's chief editor Bambang Harymurti and called it a setback for the country 's press freedom and democracy.,3,Iraq / President,Microsoft / New
"Bettman says 'season is likely slipping away '. National Hockey League commissioner Gary Bettman doesn 't appear optimistic that the current player lockout will end soon, according to a televised report.",1,Game / Season,Game / Season
"Court Won't Halt Arch Coal's Triton Bid. A. appeals court ruled on Friday that Arch Coal Inc. ( ) may proceed with its bid to buy the assets of rival Triton Coal Co. LLC, denying an emergency request by the Federal Trade Commission to block the deal, a spokesman for the agency said.",3,Iraq / President,Microsoft / New
"Brazilian GP, Friday. Fernando 7th and Jacques 12th after a studious opening day at Interlagos for the Mild Seven Renault F1 Team.",1,Game / Season,Microsoft / New
"Anniversary remembered on game day. When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1,Game / Season,Game / Season
SA 'mercenaries' plead not guilty. Sixty-six men accused of plotting a coup in Equatorial Guinea deny breaching Zimbabwe's security laws.,3,Iraq / President,Microsoft / New
"China trade volume to reach $1.1trillion in 2004. China 's total trade volume will reach 1.1 trillion US dollars in 2004 -- up 30 percent over 2003 --with a trade surplus of about 10 billion US dollars, said Assistant Minister of Commerce Yi Xiaozhun.",3,Iraq / President,Microsoft / New
Microsoft adds to Visual Studio tools line. 2005 Standard Edition targets developers working in small organizations.,0,Microsoft / New,Microsoft / New
IBM Claims Computing Crown. IBM (NYSE: IBM - News) has new bragging rights. Press reports indicate that the technology giant has created the world's fastest supercomputer two years after a Japanese computer claimed that title.,0,Microsoft / New,Microsoft / New
New York Yankees Team Report - October 1. (Sports Network) - Orlando Hernandez tries to rebound from his first loss of the season this evening when the New York Yankees open a three-game set with the Toronto Blue Jays at SkyDome.,1,Game / Season,Game / Season
"Thais 'bomb ' south with paper birds on Muslim south. Around 50 Thai Air Force planes ""bombed "" the largely Muslim south with paper birds on Sunday as a symbol of peace for the restive region where nearly 500 people have been killed since January.",3,Iraq / President,Microsoft / New
Court rules against state Web-blocking law. A Pennsylvania law requiring Internet service providers to block Web sites deemed by the state's prosecuting attorneys to be child pornography has been reversed by a. federal court on free-speech grounds.,0,Microsoft / New,Microsoft / New
"Hewlett-Packard buys Synstar. Palo Alto-based Hewlett-Packard Co. has bought IT services company Synstar plc, of Bracknell, England for about $293.3 million. Synstar has some 1,500 customers across Europe, selling IT support for various computer platforms.",0,Microsoft / New,Microsoft / New
"Obesity Raises Risk for 9 Different Types of Cancer. By LAURAN NEERGAARD WASHINGTON -- Heart disease and diabetes get all the attention, but expanding waistlines increase the risk for at least nine types of cancer, too. And with the obesity epidemic showing no signs of waning, specialists say they need to better understand how fat cells fuels cancer growth so they might fight back...",3,Iraq / President,Microsoft / New
"Microsoft offers SP2 compatibility guide. Security-focused Windows XP update can be tough on applications. Guidelines are meant to help professionals ""test and mitigate.""",0,Microsoft / New,Microsoft / New
"Mortgage Applications Rose Last Week. Applications for. home mortgages rose last week, as mortgage rates fell, an industry group said on Wednesday.",2,Oil / Prices,Microsoft / New
"Snap-on warns for 3Q, 2004. Vehicle tool maker sees profit below forecasts amid high steel prices, soft demand in Europe. NEW YORK - Snap-on Inc., which makes vehicle-repair tools, said Tuesday its third-quarter and full-year",2,Oil / Prices,Microsoft / New
Summary Box: Breast Cancer Surgery Refined. NEW APPROACH: A study says that removing just one to three key lymph nodes can spare women lifelong arm problems and reliably indicate whether breast cancer has spread.,0,Microsoft / New,Microsoft / New
"Cards unfazed by Series deficit. Monday 's workout at Busch Stadium contained a few more St. Louis Cardinals than you 'd expect considering it was optional, but you could understand why they 'd want to",1,Game / Season,Microsoft / New
GAME NOTES: The 24th-ranked Memphis Tigers and the fifth-ranked.... Orange are set to square off in the title game of the Coaches vs. Cancer. Classic. The Orange posted an impressive 71-58 victory over 12th-ranked.,1,Game / Season,Game / Season
"Ask Jeeves revamps search engine. Ask Jeeves Inc. has made three significant enhancements to its search engine, as the Emeryville, California company continues to take aim at its much larger competitors",0,Microsoft / New,Microsoft / New
"Reality TV Show Follows the Unfaithful. Two Emmy-nominated reality producers are developing a series about infidelity, featuring stories of unfaithful spouses who have turned to a popular online matchmaking service that caters to attached people seeking extramarital affairs.",0,Microsoft / New,Microsoft / New
"Swimming: Phelps Wins Gold, Pulls Out of Relay. Michael Phelps, who has won five gold medals in the Olympic pool, said Friday he was pulling out of Saturday's 4x100 meter medley relay final to give team mate Ian Crocker the chance to swim.",1,Game / Season,Microsoft / New
"BA hikes oil surcharge by up to 8 per ticket. British Airways, Europe 's biggest airline by passenger capacity, has hiked its fuel surcharges by up to UK8 per ticket, a day after oil prices climbed to record levels.",2,Oil / Prices,Oil / Prices
"NETS 96, BOBCATS 89 Nets Win but They Still Look Out of Sorts. One night after they were pounded by 19 points in a preseason game in Cleveland, the Nets looked like a much different team against the expansion Charlotte Bobcats",1,Game / Season,Game / Season
Stunt pilots to snag a falling NASA craft. NASA 's three-year effort to bring some genuine star dust back to Earth is set for a dramatic finale Sept. 8 when Hollywood helicopter pilots will attempt a midair retrieval,3,Iraq / President,Microsoft / New
"Late rally sees Wall Street end week on a positive note. US BLUE-chips recovered from an early fall to end higher as a drop in oil prices offset a profit warning from aluminium maker Alcoa, while a rise in Oracle fuelled a rally in technology stocks after a judge rejected a government attempt to block a",2,Oil / Prices,Oil / Prices
"New Brussels blow for Turkey 's EU hopes. EU farm commissioner Franz Fischler on Friday became the latest Brussels critic to raise doubts over Turkey 's hopes of joining the bloc, as wrangling over Ankara 's EU bid heats up.",3,Iraq / President,Microsoft / New
"Youkilis, McCarty placed on 15-day disabled list. BOSTON -- It was another busy day on the medical front for the Red Sox, as a series of roster moves were announced prior to Tuesday night 's game against the Blue Jays.",1,Game / Season,Game / Season
Pitt to Interview at Least Three Coaches. Pittsburgh athletic director Jeff Long plans to interview at least three candidates to replace football coach Walt Harris.,1,Game / Season,Microsoft / New
Microsoft Includes SP2 in Windows XP Embedded. Customers using Windows XP Embedded will be able to use a downloadable preview to test the new software for conflicts with existing drivers.,0,Microsoft / New,Microsoft / New
Indian state rolls out wireless broadband. Government in South Indian state of Kerala sets up wireless kiosks as part of initiative to bridge digital divide.,0,Microsoft / New,Microsoft / New
"Skype Telephony Now Available for the Mac. Skype for Windows, Skype for Pocket PC and Skype for Linux -- Skype for Mac OS X is free. Skype users can control their online presence and",0,Microsoft / New,Microsoft / New
"Bienvenue, Carrefour. Lesser-known French retailer turns in a strong first half. Investors, take notice.",2,Oil / Prices,Microsoft / New
"SEC Delays Reviews for Some Firms. Securities regulators gave more than 2,000 public companies a brief reprieve from new rules requiring them to assess the strength of their financial safeguards.",0,Microsoft / New,Microsoft / New
"Car Bomb Kills at Least Six in Baghdad. A car bomb exploded outside the Education Ministry in central Baghdad Tuesday, killing at least six people and wounding about eight, the Interior Ministry said.",3,Iraq / President,Microsoft / New
"Microsoft Plans Heavy Hype for 'Halo 2'. ""Halo 2"" appears to be one of the most hotly hyped and heavily anticipated video games ever, and Microsoft is planning a Tuesday release that may rival the best of Hollywood's movie glitz. -washingtonpost.com",0,Microsoft / New,Microsoft / New
"EBay gets into rentals. EBay plans to buy the apartment and home rental service Rent.com for $415 million, adding to its already exhaustive breadth of offerings.",0,Microsoft / New,Microsoft / New
"ECB ""consensus "" kept rates steady today. European Central Bank president Jean-Claude Trichet has said that today 's decision to leave euro interest rates unchanged reflected a broad consensus on the governing council of the bank.",3,Iraq / President,Iraq / President
"SpaceShipOne Lands After 2nd Flight. MOJAVE, Calif. - The private manned rocket SpaceShipOne (search) streaked toward space early Monday in a bid to top an altitude of 62 miles for the second time in six days and claim the $10 million Ansari X Prize (search).",3,Iraq / President,Microsoft / New
"Ancient fungus 'revived' in lab. Fungus from a deep-sea sediment core that is hundreds of thousands of years old will grow when placed in culture, scientists discover.",3,Iraq / President,Microsoft / New
"Golf: Woods ' bitter sip from cup. MICHIGAN - Tiger Woods finished the 35th Ryder Cup on a personal winning note in the last-day singles, but the enigma of his relationship with the biennial team competition remains.",1,Game / Season,Microsoft / New
"Supreme Court Asked To Hear File-Sharing Arguments. The file-sharing legal battle has moved to the Supreme Court, with a group composed of labor unions, sports leagues and state attorneys general asking for a hearing on a claim brought",3,Iraq / President,Microsoft / New
Bangladesh seeks US intelligence cooperation. Bangladesh is willing to sign a protocol with the United States to set up a joint working group like India and Pakistan did to enhance Dhaka 's capability to effectively deal with future terrorist acts in the country.,3,Iraq / President,Microsoft / New
"Pfizer buys 5 percent stake in Medarex. BOSTON ( ) - Pharmaceutical powerhouse Pfizer is buying a 5 percent stake in biotechnology researcher Medarex under their newly signed collaboration deal, according to Medarex Chief Executive Donald Drakeman.",2,Oil / Prices,Microsoft / New
"Ferrero advances; Moya stunned in rainy Beijing. Beijing, China (Sports Network) - For the second time in as many days, rain was a major factor at the inaugural $500,000 China Open.",1,Game / Season,Microsoft / New
". Forced to Battle for Ryder Cup Survival. BLOOMFIELD HILLS, Michigan - The. Ryder Cup team, wounded after a first day mauling, were facing a fight for survival on Saturday.",1,Game / Season,Microsoft / New
Microsoft to showcase new MSN Search preview. Microsoft is having big problems in the Search Engine Market. Their online search engine stands nowhere on popularity charts and now Google and Yahoo!,0,Microsoft / New,Microsoft / New
Microsoft Will Replace Fake Copies of XP. . users will be able to replace pirated versions of Windows that they have purchased.,0,Microsoft / New,Microsoft / New
Do-not-call bill could be introduced today. The federal government hopes to introduce legislation today to establish a do-not-call registry for consumers who want to stop endless telemarketing pitches.,3,Iraq / President,Microsoft / New
"Business; Fiat Talks Tough Ahead of Key GM Meeting. ""There is a very good argument to say that the Italian car plants could benefit from the relocation of other GM businesses in Europe, "" Marchionne was quoted as saying.",3,Iraq / President,Microsoft / New
"High-Tech Start-Up Strives For Open-Source Compatibility. SourceLabs could create some buzz because of its pedigree team of founders. The company is led by Chief Executive Byron Sebastian, a former executive at San Jose 's BEA Systems, who founded the company in spring.",0,Microsoft / New,Microsoft / New
"Stocks Finish Up, Apple Provides a Lift. . stocks rose on Monday as a higher price target for shares of Apple Computer Inc. prompted enthusiasm for technology stocks and a rally in crude oil stalled.",2,Oil / Prices,Oil / Prices
"Cricket-Lillee a victim of generational change, says spin guru. MELBOURNE, Australia - Cricket Australia said it was better off hiring full-time coaches than employing bowling great Dennis Lillee, who has abruptly ended his long coaching involvement with the body.",3,Iraq / President,Microsoft / New
"MPAA takes filesharers to court. The Motion Picture Association of America has gone on the offensive in its battle against piracy and peer-to-peer sharing of movies, and has launched more than 200 civil suits against users it identifies as being the worst offenders.",0,Microsoft / New,Microsoft / New
"Russians Next In Line To Receive Cheap Windows. After Thailand, Malaysia and Indonesia, Microsoft has identified Russia as the fourth market for its low cost scaled down operating system, Windows XP Starter Edition (XP SE).",0,Microsoft / New,Microsoft / New
"Iraq Group Sets Ransom, Deadline for French Release. A statement posted on a Web site purportedly by an Iraqi group which said it was holding two French hostages set a $5 million ransom on Monday and issued a 48-hour deadline for its demands to be met.",3,Iraq / President,Iraq / President
"Dream team. In March, when his free agency tour stopped here, five-time Pro Bowl safety John Lynch got a glimpse of the formula that has the New England Patriots poised to establish an NFL record for consecutive victories and become just the second team to win three Super Bowls in four years. Lynch ultimately signed a few days later with...",1,Game / Season,Microsoft / New
Off-day would have been welcomed by Sox. After another disappointing road trip - the White Sox were 3-4 on a swing through Detroit and Cleveland - a day off sure would look enticing.,1,Game / Season,Microsoft / New
"Paralympics Open in Athens. Nearly 4,000 disabled athletes are in Athens, Greece, for Friday night 's opening ceremony of the largest Paralympics in the games ' 44-year history.",1,Game / Season,Game / Season
"Americans Have Dirty Paws. New report gives them a 'C' for hand hygiene HealthDayNews -- Americans are doing a crummy job of keeping their hands clean. They got a ""C"" in hand hygiene in the 2004 Clean Hands Report Card produced by the Soap and Detergent Association...",0,Microsoft / New,Microsoft / New
"Around the world. Ukrainian presidential candidate Viktor Yushchenko was poisoned with the most harmful known dioxin, which is contained in Agent Orange, a scientist who analyzed his blood said Friday.",3,Iraq / President,Iraq / President
"Man Held in England in Cisco Code Theft. A 20-year-old man has been arrested in England in the theft of the proprietary software blueprints used by Cisco Systems Inc.'s networking equipment, police and the company confirmed.",0,Microsoft / New,Microsoft / New
"Adams quits as Leicester boss. LEICESTER: Mickey Adams has quit as manager of English Championship side Leicester City, the club announced yesterday. Adams ' resignation was accepted at an emergency meeting of the board of directors at the",1,Game / Season,Microsoft / New
"Software revenue pushes up Oracle 's Q2 earnings. Oracle Corp. reported second-quarter 2005 earnings that beat analyst expectations on Monday, thanks to new software revenue and continued gains from license updates and product support.",2,Oil / Prices,Microsoft / New
"Vonage Calls on Linksys for VoIP. Linksys will provide broadband-to-phone adapters and, eventually, Wi-Fi equipment.",0,Microsoft / New,Microsoft / New
"Els Looks Ahead with Promise After Major Woes. After being a frustrated 'nearly man' at this year's majors, Ernie Els plans to make the most of a near-perfect finish to the 2004 season.",1,Game / Season,Game / Season
"Braves 6, Padres 5. Andruw Jones hit a two-run homer off Trevor Hoffman in the ninth inning and the Atlanta Braves threw out the potential tying run at the plate for the final out Wednesday night, preserving a 6-5 come-from-behind win over the San Diego Padres.",1,Game / Season,Microsoft / New
Erdogan Believes European Council 's Decision Will Be A Milestone. PARIS - Turkish PM Recep Tayyip Erdogan expressed belief on Thursday that the decision that the European Council would make on December 17th (on whether and when to open negotiations with Turkey) would be a milestone for not only Turkey-(EU) relations,3,Iraq / President,Microsoft / New
"GM May Close Plant in Europe. General Motors Corp. will likely cut some jobs in Europe and may close a plant there as part of a restructuring plan under development to try to return the region to profitability, the. automaker said on Wednesday.",3,Iraq / President,Microsoft / New
"Hologram labels in Nokia batteries. New Delhi: To help customers identify original Nokia batteries from the counterfeit ones, Nokia has introduced hologram labels with authentication codes in all its new batteries.",0,Microsoft / New,Microsoft / New
"Swimmer, 77, believed killed in shark attack. CAPE TOWN -- A great white shark estimated to be at least 18 feet long attacked and presumably killed an elderly South African woman yesterday off a beach near Cape Town, officials said. Tyna Webb, 77, who lived in the area, was swimming off Sunny Cove in Fish Hoek when the massive shark circled her and then attacked, witnesses and...",3,Iraq / President,Microsoft / New
"NASA 'scramjet ' makes historic flight off California. LOS ANGELES NASA 's unmanned ""scramjet "" proved it 's small but it 's fast -- in a record-breaking demonstration above the Pacific Ocean.",3,Iraq / President,Microsoft / New
Panel Urges. to Pay $14 Billion More for City Schools. Court-appointed referees recommended the state pay an additional $14 billion over four years to improve New York City schools.,3,Iraq / President,Microsoft / New
"James Lawton: In mourning for big fights of Las Vegas. En route to Las Vegas for the world heavyweight title fight between Vitali Klitschko and Britain 's Danny Williams, there is, inevitably, an old stirring of that anticipation which is familiar to almost anyone who has attended a big fight.",1,Game / Season,Microsoft / New
". Weighs More Sanctions Vs. Belarus. The Bush administration may impose sanctions against leaders of the former Soviet republic of Belarus as part of a broader range of punitive measures, the State Department said Thursday.",3,Iraq / President,Microsoft / New
"Harrowing footage shows Hassan pleading for her life. Margaret Hassan, the kidnapped British aid worker, appeared in a new and harrowing video yesterday, weeping and asking Tony Blair to save her life by halting the deployment of British",3,Iraq / President,Microsoft / New
"Fed Raises Interest Rate A 4th Time, To 2 Percent. The Federal Reserve suggested that it would continue to raise interest rates gradually through much of next year.",2,Oil / Prices,Microsoft / New
"HP Shifting Last of Itanium Engineers. Hewlett-Packard Co. (: Quote, Profile, Research) and Intel Corp. (: Quote, Profile, Research) on Wednesday ended their 10-year partnership to co-develop the Itanium chip",0,Microsoft / New,Microsoft / New
"US consumer confidence down for second month as job woes deepen. US consumer confidence fell for the second straight month in September as the outlook for jobs deteriorated, the Conference Board said.",2,Oil / Prices,Microsoft / New
Tesco steps up RFID efforts. Tesco is rolling out radio barcode technology across its 98 Tesco Extra stores to track high-value items between its internal distribution centres and its outlets.,0,Microsoft / New,Microsoft / New
". Report: Iraq Didn't Have WMDs. WASHINGTON - Saddam Hussein's weapons of mass destruction programs had deteriorated into only hopes and dreams by the time of the.-led invasion last year, a decline wrought by the first Gulf War and years of international sanctions, the chief. weapons hunter found...",3,Iraq / President,Iraq / President
China wary at Taiwan poll result. China's media responds cautiously to the election setback suffered by Taiwan's pro-independence DPP.,3,Iraq / President,Microsoft / New
"Democracy thrives in largest Muslim state. Indonesia 's presidential favorite Susilo Bambang Yudhoyono spent part of a three-day break between the campaign and Monday 's historic election not resting, but writing.",3,Iraq / President,Iraq / President
"Thai PM Defiant After 78 Muslims Die in Custody. Thai Prime Minister Thaksin Shinawatra shed few tears on Wednesday over the death of 78 Muslims in military custody as distraught mourners besieged an army base in the far south, demanding the bodies of relatives.",3,Iraq / President,Microsoft / New
"Dolphins' Fiedler Not Happy About Benching. Dave Wannstedt wasn't happy with Jay Fiedler on Saturday, and the feeling was mutual. Wannstedt benched Fiedler at halftime of the Miami Dolphins' 17-7 loss to the Tennessee Titans, and the quarterback said he was disappointed about the quick hook.",1,Game / Season,Microsoft / New
"Report: E-voting problems cause loss of votes. E-voting machine problems caused more than 4,500 votes to be lost in one North Carolina county during Tuesday's general election, and gave. President George Bush more than 3,800 extra votes in Ohio, according to The Associated Press.",3,Iraq / President,Iraq / President
"CSFB May Cut Costs by Merging Units, Shedding Jobs, People Say. Credit Suisse First Boston, the securities arm of Switzerland 's second-biggest bank, plans to cut costs by combining some units and eliminating jobs, people familiar with the matter said.",3,Iraq / President,Microsoft / New
Patriots Begin Title Defense with Narrow Win Over Colts. The New England Patriots began their quest for successive Super Bowl titles with a tight 27-24 win over the Indianapolis Colts in the opening game of the NFL season in Foxboro Thursday.,1,Game / Season,Game / Season
"Gap, Wild Planet Get Together on Radio Sweatshirt. Wild Planet, a toy maker known for its spy gear and adventure gadgets, said on Wednesday it was teaming up with clothing retailer Gap Inc to sell sweatshirts with FM radios built in at GapKids stores.",3,Iraq / President,Microsoft / New
"Solar Sail Launch Date Set. smooth wombat writes ""Get out your PDAs and set aside March 1, 2005. That is date the solar sail, named Cosmos 1, is set to be launched from a submerged Russian submarine in the Barents Sea.",3,Iraq / President,Microsoft / New
"Tropical Storm Slams Into Coastal.. CHARLESTON,. - Tropical Storm Gaston blasted the South Carolina coast with rain and near-hurricane strength wind early Sunday, flooding roads and knocking out power to at least 75,000 homes...",3,Iraq / President,Microsoft / New
